*Header begin
Subject ID = zp_6-20_18-7_radial.log
edf_name = C:\Documents and Settings\hulusi\My Documents\MotionCoherence\data\radial\zp_6-20_18-7_radial.log
Group = WS
Eye To Screen = 57
Screen Dims = 4.268750e+0124
Radius of the Big Circle = 10
Radius of the Small Circle = 1.500000e+00
Density of dots = 4
Amount of dots = 1257
Radius of a dot = 2.000000e-01
Velocity = 8
Pixel Depth= 32
Dots Colour= 200
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
TrialNo	Direction	Cohe	isCorrect	Pressed	ReactionTime	Jitter	
87		1		6.500000e-01	1		8		7.965621e-01		1.462737e+00
88		-1		3.000000e-01	1		2		8.168139e-01		1.339899e+00
89		1		1.500000e-01	1		8		8.710791e-01		1.370337e+00
90		1		3.000000e-01	1		8		8.192966e-01		1.663552e+00
91		1		5.000000e-01	1		8		8.155405e-01		1.458115e+00
92		1		6.500000e-01	1		8		6.997317e-01		1.297492e+00
93		-1		5.000000e-01	1		2		7.679775e-01		1.662619e+00
94		1		6.500000e-01	1		8		7.342472e-01		1.895350e+00
95		1		5.000000e-01	1		8		5.444547e-01		1.907031e+00
96		-1		6.500000e-01	1		2		5.086451e-01		1.581112e+00
97		1		8.000000e-01	1		8		5.369504e-01		1.785978e+00
98		1		8.000000e-01	1		8		6.091562e-01		1.319471e+00
99		1		3.000000e-01	1		8		7.134315e-01		1.999813e+00
100		-1		3.000000e-01	1		2		8.056683e-01		1.423435e+00
101		1		8.000000e-01	1		8		6.678843e-01		1.654129e+00
102		1		5.000000e-02	1		8		8.441433e-01		1.796796e+00
103		1		6.500000e-01	1		8		7.082872e-01		1.245039e+00
104		1		5.000000e-02	0		2		7.265474e-01		1.233031e+00
105		1		1.500000e-01	1		8		7.607559e-01		1.620060e+00
106		-1		8.000000e-01	1		2		8.089821e-01		1.362027e+00
107		-1		1.500000e-01	1		2		9.872369e-01		1.464268e+00
108		-1		8.000000e-01	1		2		9.434844e-01		1.702227e+00
109		-1		6.500000e-01	1		2		9.336770e-01		1.453326e+00
110		-1		8.000000e-01	-2		space		2		1.559636e+00
111		-1		5.000000e-01	1		2		8.941804e-01		1.976209e+00
112		1		3.000000e-01	1		8		7.784051e-01		1.461748e+00
113		-1		6.500000e-01	1		2		7.926108e-01		1.606088e+00
114		1		5.000000e-02	1		8		8.228602e-01		1.653129e+00
