# 
#                  Behavioural Data Log:
#                      All trials matched to eeg trials
#                      Trial rejection according to the behavioural criteria is still needed
#                  Subject Initials: PM
#                  Percentage of Rejected Trials: %3.16
#                  
#                  trl_no, dxn, coh, isOK, rt
#                  
1.49000e+02, 1.00000e+00, 3.00000e-01, 1.00000e+00, 4.56230e-01
1.50000e+02, 1.00000e+00, 3.00000e-01, 1.00000e+00, 4.57670e-01
1.51000e+02, 1.00000e+00, 3.00000e-01, 1.00000e+00, 3.63352e-01
1.52000e+02, -1.00000e+00, 1.50000e-01, 1.00000e+00, 4.85692e-01
1.53000e+02, 1.00000e+00, 1.50000e-01, 1.00000e+00, 4.01633e-01
1.54000e+02, 1.00000e+00, 8.00000e-01, 1.00000e+00, 4.35666e-01
1.55000e+02, 1.00000e+00, 5.00000e-01, 1.00000e+00, 4.19661e-01
1.56000e+02, 1.00000e+00, 6.50000e-01, 1.00000e+00, 4.01235e-01
1.57000e+02, -1.00000e+00, 1.50000e-01, 1.00000e+00, 7.37284e-01
1.58000e+02, -1.00000e+00, 6.50000e-01, 1.00000e+00, 4.59432e-01
1.59000e+02, -1.00000e+00, 1.50000e-01, 0.00000e+00, 5.07544e-01
1.60000e+02, -1.00000e+00, 5.00000e-01, 1.00000e+00, 4.47374e-01
1.61000e+02, -1.00000e+00, 8.00000e-01, 1.00000e+00, 3.68953e-01
1.62000e+02, -1.00000e+00, 3.00000e-01, 1.00000e+00, 3.62887e-01
1.63000e+02, 1.00000e+00, 6.50000e-01, 1.00000e+00, 3.23618e-01
1.64000e+02, -1.00000e+00, 8.00000e-01, 1.00000e+00, 2.88848e-01
1.65000e+02, 1.00000e+00, 5.00000e-02, 1.00000e+00, 4.77032e-01
1.66000e+02, 1.00000e+00, 8.00000e-01, 1.00000e+00, 5.15301e-01
1.67000e+02, -1.00000e+00, 8.00000e-01, 1.00000e+00, 3.38772e-01
1.68000e+02, 1.00000e+00, 6.50000e-01, 1.00000e+00, 5.44780e-01
1.69000e+02, -1.00000e+00, 6.50000e-01, 1.00000e+00, 7.67074e-01
1.70000e+02, 1.00000e+00, 1.50000e-01, 1.00000e+00, 4.56405e-01
1.71000e+02, -1.00000e+00, 5.00000e-01, 1.00000e+00, 3.98851e-01
1.72000e+02, -1.00000e+00, 5.00000e-01, 1.00000e+00, 5.56719e-01
1.73000e+02, -1.00000e+00, 5.00000e-01, 1.00000e+00, 4.04571e-01
1.74000e+02, 1.00000e+00, 5.00000e-02, 1.00000e+00, 4.12996e-01
1.75000e+02, -1.00000e+00, 8.00000e-01, 1.00000e+00, 3.86268e-01
1.76000e+02, -1.00000e+00, 5.00000e-02, 0.00000e+00, 4.12066e-01
1.77000e+02, -1.00000e+00, 5.00000e-02, 0.00000e+00, 3.95883e-01
1.78000e+02, 1.00000e+00, 6.50000e-01, 1.00000e+00, 4.98374e-01
1.79000e+02, 1.00000e+00, 1.50000e-01, 1.00000e+00, 5.14117e-01
1.80000e+02, -1.00000e+00, 5.00000e-02, 0.00000e+00, 3.81595e-01
1.81000e+02, -1.00000e+00, 1.50000e-01, 0.00000e+00, 3.26102e-01
1.82000e+02, 1.00000e+00, 1.50000e-01, 1.00000e+00, 3.39724e-01
1.83000e+02, 1.00000e+00, 1.50000e-01, 1.00000e+00, 2.57950e-01
1.84000e+02, 1.00000e+00, 5.00000e-01, 1.00000e+00, 3.03560e-01
1.85000e+02, -1.00000e+00, 5.00000e-01, 1.00000e+00, 2.81456e-01
1.86000e+02, -1.00000e+00, 5.00000e-02, 0.00000e+00, 3.99958e-01
1.87000e+02, 1.00000e+00, 5.00000e-01, 1.00000e+00, 3.15349e-01
1.88000e+02, -1.00000e+00, 6.50000e-01, 1.00000e+00, 3.23204e-01
1.89000e+02, 1.00000e+00, 6.50000e-01, 1.00000e+00, 2.51190e-01
1.90000e+02, 1.00000e+00, 5.00000e-02, 1.00000e+00, 3.59185e-01
1.91000e+02, -1.00000e+00, 3.00000e-01, 1.00000e+00, 3.79503e-01
1.92000e+02, 1.00000e+00, 3.00000e-01, 1.00000e+00, 6.61291e-01
1.93000e+02, -1.00000e+00, 5.00000e-02, 0.00000e+00, 6.41290e-01
1.94000e+02, 1.00000e+00, 6.50000e-01, 1.00000e+00, 2.86993e-01
1.95000e+02, -1.00000e+00, 5.00000e-01, 1.00000e+00, 2.50704e-01
1.96000e+02, 1.00000e+00, 6.50000e-01, 1.00000e+00, 5.98960e-01
1.97000e+02, 1.00000e+00, 5.00000e-01, 1.00000e+00, 4.01463e-01
1.98000e+02, 1.00000e+00, 3.00000e-01, 1.00000e+00, 3.28579e-01
1.99000e+02, 1.00000e+00, 8.00000e-01, 1.00000e+00, 3.51458e-01
2.00000e+02, -1.00000e+00, 8.00000e-01, 1.00000e+00, 2.70704e-01
2.01000e+02, 1.00000e+00, 5.00000e-01, 1.00000e+00, 3.18444e-01
2.02000e+02, -1.00000e+00, 5.00000e-02, 0.00000e+00, 5.12995e-01
2.03000e+02, -1.00000e+00, 5.00000e-02, 0.00000e+00, 5.14725e-01
2.04000e+02, 1.00000e+00, 8.00000e-01, 1.00000e+00, 4.54885e-01
2.05000e+02, 1.00000e+00, 5.00000e-02, 1.00000e+00, 4.40786e-01
2.06000e+02, 1.00000e+00, 1.50000e-01, 1.00000e+00, 6.28194e-01
2.07000e+02, -1.00000e+00, 1.50000e-01, 0.00000e+00, 8.50021e-01
2.08000e+02, -1.00000e+00, 1.50000e-01, 1.00000e+00, 4.50789e-01
2.09000e+02, -1.00000e+00, 8.00000e-01, 1.00000e+00, 3.88148e-01
2.10000e+02, 1.00000e+00, 1.50000e-01, 1.00000e+00, 5.12449e-01
2.11000e+02, 1.00000e+00, 8.00000e-01, 1.00000e+00, 3.05709e-01
2.12000e+02, 1.00000e+00, 5.00000e-01, 1.00000e+00, 2.82514e-01
2.13000e+02, 1.00000e+00, 5.00000e-02, 1.00000e+00, 2.50558e-01
2.14000e+02, -1.00000e+00, 1.50000e-01, 1.00000e+00, 4.62433e-01
2.15000e+02, 1.00000e+00, 6.50000e-01, 1.00000e+00, 6.19539e-01
2.16000e+02, 1.00000e+00, 1.50000e-01, 1.00000e+00, 5.36271e-01
2.17000e+02, 1.00000e+00, 8.00000e-01, 1.00000e+00, 3.39929e-01
